ParentLocation,Location,Year,Sex,Cause,CauseCode,Average Estimated Number of Deaths,Lower Estimated Number of Death,Higher Estimated Number of Death,Date,Time
Africa,Angola,2019,Male,Stroke,ENVCAUSE114,1232.0,627.9,2072.0,25/08/2022,16:00:00
Africa,Angola,2019,Female,Ischaemic heart disease,ENVCAUSE113,1233.0,813.6,1706.0,25/08/2022,16:00:00
Africa,Angola,2019,Male,Ischaemic heart disease,ENVCAUSE113,1366.0,900.7,1912.0,25/08/2022,16:00:00
Africa,Angola,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,154.7,107.7,196.7,25/08/2022,16:00:00
Africa,Angola,2019,Both sexes,Stroke,ENVCAUSE114,2384.0,1233.0,3967.0,25/08/2022,16:00:00
Africa,Angola,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,2599.0,1708.0,3619.0,25/08/2022,16:00:00
Africa,Angola,2019,Female,Lower respiratory infections,ENVCAUSE039,3263.0,2149.0,4274.0,25/08/2022,16:00:00
Africa,Angola,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,437.4,235.8,803.8,25/08/2022,16:00:00
Africa,Angola,2019,Male,Lower respiratory infections,ENVCAUSE039,4473.0,2916.0,5905.0,25/08/2022,16:00:00
Africa,Angola,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,450.2,257.4,790.6,25/08/2022,16:00:00
Africa,Angola,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,71.2,51.0,89.1,25/08/2022,16:00:00
Africa,Angola,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,7736.0,5070.0,10145.0,25/08/2022,16:00:00
Africa,Angola,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,83.5,56.8,108.1,25/08/2022,16:00:00
Africa,Angola,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,887.7,494.0,1599.0,25/08/2022,16:00:00
Europe,Albania,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,100.2,28.5,197.0,25/08/2022,16:00:00
Europe,Albania,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,110.5,32.8,202.7,25/08/2022,16:00:00
Europe,Albania,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,119.1,30.2,288.0,25/08/2022,16:00:00
Europe,Albania,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,123.5,35.4,240.8,25/08/2022,16:00:00
Europe,Albania,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,23.3,6.9,44.0,25/08/2022,16:00:00
Europe,Albania,2019,Male,Stroke,ENVCAUSE114,280.0,68.3,622.0,25/08/2022,16:00:00
Europe,Albania,2019,Male,Ischaemic heart disease,ENVCAUSE113,394.3,122.5,776.2,25/08/2022,16:00:00
Europe,Albania,2019,Male,Lower respiratory infections,ENVCAUSE039,47.8,13.8,88.2,25/08/2022,16:00:00
Europe,Albania,2019,Female,Stroke,ENVCAUSE114,488.3,120.2,1094.0,25/08/2022,16:00:00
Europe,Albania,2019,Female,Ischaemic heart disease,ENVCAUSE113,512.5,160.0,1001.0,25/08/2022,16:00:00
Europe,Albania,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,59.5,15.1,144.1,25/08/2022,16:00:00
Europe,Albania,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,59.6,15.1,140.8,25/08/2022,16:00:00
Europe,Albania,2019,Female,Lower respiratory infections,ENVCAUSE039,62.7,18.7,114.7,25/08/2022,16:00:00
Europe,Albania,2019,Both sexes,Stroke,ENVCAUSE114,768.2,187.2,1713.0,25/08/2022,16:00:00
Europe,Albania,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,906.8,283.3,1778.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Female,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Female,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Female,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Male,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Male,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Male,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Eastern Mediterranean,United Arab Emirates,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Argentina,2019,Male,Ischaemic heart disease,ENVCAUSE113,102.9,0.0,788.1,25/08/2022,16:00:00
Americas,Argentina,2019,Female,Ischaemic heart disease,ENVCAUSE113,108.9,0.0,840.1,25/08/2022,16:00:00
Americas,Argentina,2019,Male,Lower respiratory infections,ENVCAUSE039,145.4,0.0,1031.0,25/08/2022,16:00:00
Americas,Argentina,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,156.4,0.0,1235.0,25/08/2022,16:00:00
Americas,Argentina,2019,Female,Lower respiratory infections,ENVCAUSE039,189.9,0.0,1348.0,25/08/2022,16:00:00
Americas,Argentina,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,211.8,0.0,1628.0,25/08/2022,16:00:00
Americas,Argentina,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,24.7,0.0,192.3,25/08/2022,16:00:00
Americas,Argentina,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,335.3,0.0,2374.0,25/08/2022,16:00:00
Americas,Argentina,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,37.8,0.0,297.3,25/08/2022,16:00:00
Americas,Argentina,2019,Male,Stroke,ENVCAUSE114,38.3,0.0,271.7,25/08/2022,16:00:00
Americas,Argentina,2019,Female,Stroke,ENVCAUSE114,44.5,0.0,311.8,25/08/2022,16:00:00
Americas,Argentina,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,62.5,0.0,489.7,25/08/2022,16:00:00
Americas,Argentina,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,70.9,0.0,555.9,25/08/2022,16:00:00
Americas,Argentina,2019,Both sexes,Stroke,ENVCAUSE114,82.7,0.0,584.5,25/08/2022,16:00:00
Americas,Argentina,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,85.5,0.0,679.9,25/08/2022,16:00:00
Europe,Armenia,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,10.4,0.0,46.5,25/08/2022,16:00:00
Europe,Armenia,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,10.8,0.0,50.4,25/08/2022,16:00:00
Europe,Armenia,2019,Male,Stroke,ENVCAUSE114,13.2,0.0,57.4,25/08/2022,16:00:00
Europe,Armenia,2019,Male,Lower respiratory infections,ENVCAUSE039,14.9,0.0,62.8,25/08/2022,16:00:00
Europe,Armenia,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,163.2,0.0,654.8,25/08/2022,16:00:00
Europe,Armenia,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,17.5,0.0,72.9,25/08/2022,16:00:00
Europe,Armenia,2019,Female,Stroke,ENVCAUSE114,19.4,0.0,82.6,25/08/2022,16:00:00
Europe,Armenia,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,21.2,0.0,96.4,25/08/2022,16:00:00
Europe,Armenia,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,22.5,0.0,93.4,25/08/2022,16:00:00
Europe,Armenia,2019,Female,Lower respiratory infections,ENVCAUSE039,25.6,0.0,106.8,25/08/2022,16:00:00
Europe,Armenia,2019,Both sexes,Stroke,ENVCAUSE114,32.6,0.0,139.8,25/08/2022,16:00:00
Europe,Armenia,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,40.5,0.0,169.4,25/08/2022,16:00:00
Europe,Armenia,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,5.1,0.0,20.5,25/08/2022,16:00:00
Europe,Armenia,2019,Male,Ischaemic heart disease,ENVCAUSE113,77.3,0.0,311.0,25/08/2022,16:00:00
Europe,Armenia,2019,Female,Ischaemic heart disease,ENVCAUSE113,85.9,0.0,344.4,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Both sexes,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Female,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Female,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Female,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Male,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Male,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Male,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Americas,Antigua and Barbuda,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Both sexes,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Female,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Female,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Female,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Male,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Male,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Male,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Western Pacific,Australia,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Both sexes,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Female,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Female,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Female,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Male,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Male,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Male,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Austria,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Male,Stroke,ENVCAUSE114,112.7,0.0,442.3,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Female,Stroke,ENVCAUSE114,164.3,0.0,663.1,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Both sexes,Stroke,ENVCAUSE114,277.0,0.0,1101.0,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,31.1,0.0,126.0,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,33.2,0.0,140.1,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,33.9,0.0,119.6,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Female,Lower respiratory infections,ENVCAUSE039,36.7,0.0,126.8,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,39.2,0.0,138.0,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Male,Ischaemic heart disease,ENVCAUSE113,408.4,0.0,1462.0,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Male,Lower respiratory infections,ENVCAUSE039,41.2,0.0,144.1,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Female,Ischaemic heart disease,ENVCAUSE113,430.7,0.0,1535.0,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,5.4,0.0,18.4,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,64.2,0.0,263.3,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,77.9,0.0,271.0,25/08/2022,16:00:00
Europe,Azerbaijan,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,839.1,0.0,2997.0,25/08/2022,16:00:00
Africa,Burundi,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,1515.0,1251.0,1823.0,25/08/2022,16:00:00
Africa,Burundi,2019,Both sexes,Stroke,ENVCAUSE114,1552.0,997.0,2289.0,25/08/2022,16:00:00
Africa,Burundi,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,17.3,15.0,19.1,25/08/2022,16:00:00
Africa,Burundi,2019,Female,Lower respiratory infections,ENVCAUSE039,1791.0,1437.0,2051.0,25/08/2022,16:00:00
Africa,Burundi,2019,Male,Lower respiratory infections,ENVCAUSE039,2036.0,1614.0,2345.0,25/08/2022,16:00:00
Africa,Burundi,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,24.9,20.9,28.2,25/08/2022,16:00:00
Africa,Burundi,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,284.1,204.8,415.5,25/08/2022,16:00:00
Africa,Burundi,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,3827.0,3053.0,4395.0,25/08/2022,16:00:00
Africa,Burundi,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,405.3,273.1,621.3,25/08/2022,16:00:00
Africa,Burundi,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,42.1,35.9,47.3,25/08/2022,16:00:00
Africa,Burundi,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,689.4,479.6,1037.0,25/08/2022,16:00:00
Africa,Burundi,2019,Female,Ischaemic heart disease,ENVCAUSE113,694.4,577.4,830.3,25/08/2022,16:00:00
Africa,Burundi,2019,Male,Stroke,ENVCAUSE114,743.7,471.3,1116.0,25/08/2022,16:00:00
Africa,Burundi,2019,Female,Stroke,ENVCAUSE114,808.3,527.7,1171.0,25/08/2022,16:00:00
Africa,Burundi,2019,Male,Ischaemic heart disease,ENVCAUSE113,820.8,671.2,993.3,25/08/2022,16:00:00
Europe,Belgium,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Both sexes,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Female,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Female,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Female,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Male,Lower respiratory infections,ENVCAUSE039,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Male,Ischaemic heart disease,ENVCAUSE113,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Male,Stroke,ENVCAUSE114,0.0,0.0,0.0,25/08/2022,16:00:00
Europe,Belgium,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,0.0,0.0,0.0,25/08/2022,16:00:00
Africa,Benin,2019,Male,Ischaemic heart disease,ENVCAUSE113,1047.0,851.2,1269.0,25/08/2022,16:00:00
Africa,Benin,2019,Female,Stroke,ENVCAUSE114,1106.0,716.3,1612.0,25/08/2022,16:00:00
Africa,Benin,2019,Female,Ischaemic heart disease,ENVCAUSE113,1114.0,921.7,1340.0,25/08/2022,16:00:00
Africa,Benin,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,16.7,13.9,19.1,25/08/2022,16:00:00
Africa,Benin,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,20.1,17.4,22.4,25/08/2022,16:00:00
Africa,Benin,2019,Both sexes,Stroke,ENVCAUSE114,2036.0,1303.0,3014.0,25/08/2022,16:00:00
Africa,Benin,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,2161.0,1773.0,2609.0,25/08/2022,16:00:00
Africa,Benin,2019,Female,Lower respiratory infections,ENVCAUSE039,2186.0,1749.0,2521.0,25/08/2022,16:00:00
Africa,Benin,2019,Male,Lower respiratory infections,ENVCAUSE039,2609.0,2055.0,3037.0,25/08/2022,16:00:00
Africa,Benin,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,267.8,189.4,396.1,25/08/2022,16:00:00
Africa,Benin,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,351.8,232.6,547.0,25/08/2022,16:00:00
Africa,Benin,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,36.8,31.4,41.4,25/08/2022,16:00:00
Africa,Benin,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,4795.0,3802.0,5555.0,25/08/2022,16:00:00
Africa,Benin,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,619.6,422.7,944.0,25/08/2022,16:00:00
Africa,Benin,2019,Male,Stroke,ENVCAUSE114,929.9,582.8,1401.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Male,Stroke,ENVCAUSE114,1031.0,636.3,1575.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Female,Stroke,ENVCAUSE114,1064.0,679.2,1568.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,126.8,106.4,144.8,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Female,Ischaemic heart disease,ENVCAUSE113,1467.0,1184.0,1760.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Male,Ischaemic heart disease,ENVCAUSE113,1649.0,1304.0,1999.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Both sexes,Stroke,ENVCAUSE114,2094.0,1316.0,3137.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,260.6,184.4,393.4,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,307.1,200.5,485.1,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,3116.0,2490.0,3761.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Female,Lower respiratory infections,ENVCAUSE039,3326.0,2636.0,3871.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,39.7,34.3,44.5,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Male,Lower respiratory infections,ENVCAUSE039,4060.0,3177.0,4757.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,567.6,386.1,879.4,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,7386.0,5822.0,8631.0,25/08/2022,16:00:00
Africa,Burkina Faso,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,87.1,72.1,100.3,25/08/2022,16:00:00
South-East Asia,Bangladesh,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,11952.0,7398.0,19763.0,25/08/2022,16:00:00
